word,meaning,image 
acrid,"{'Adjective': ['strong and sharp', 'harsh or corrosive in tone']}",https://pixabay.com/get/gf2f1a110a4d29e611b2b795dd3636576ad2f1a84cb92601312d95099e7a4ebd25047cdad63b07709640b0f1835357f965eef039e3aede6eaade38e2bea48e9d8_1280.jpg
acrimony,{'Noun': ['a rough and bitter manner']},
acronym,"{'Noun': ['a word formed from the initial letters of the several words in the name and pronounced as one word', 'ontained', 'nderwater', 'reathing', 'pparatus']}",https://pixabay.com/get/g7cb2b0ad6798bd55ba52a086faa3cc6d3e754ce5a206178c445e2098b39d82456b2791eb068f9fde3e67cd1922ac356a94b6fb7af20787eeb204817eb8d300de_1280.jpg
acumen,"{'Noun': ['a tapering point', 'shrewdness shown by keen insight']}",https://pixabay.com/get/gc793f1cb672b9cff05cbf7b01bb35fafbe85e524d0515237f428738444febb9f1cc744091c6b090758b767db2d7e4dc0d8b7d9d4cf3980484586aebcd5297d6f_1280.jpg
adage,{'Noun': ['a condensed but memorable saying embodying some important fact of experience that is taken as true by many people']},
adamant,"{'Noun': ['very hard native crystalline carbon valued as a gem'], 'Adjective': ['impervious to pleas, persuasion, requests, reason']}",https://pixabay.com/get/g06c227ce5309fb2b21852a65e93e29d0f1a36303a992705d26ba4acaccafb86915f57e08007a4ea111d305d974642f97ea93d3e0605d611963b01d8ccea7c4a6_1280.jpg
addle,"{'Verb': ['mix up or confuse', 'become rotten']}",
adduce,{'Verb': ['advance evidence for']},
adjudicate,"{'Verb': ['put on trial or hear a case and sit as the judge at the trial of', 'bring to an end; settle conclusively']}",
adjure,"{'Verb': ['ask for or request earnestly', 'command solemnly']}",
admonish,"{'Verb': [""advise or counsel in terms of someone's behavior"", 'warn strongly; put on guard', 'take to task']}",https://pixabay.com/get/g4dda3ef384df2c90d659e8367d81ea018120e7c84f0f0063393772a8502695e57c1e0e316a377282ca318b69e800aca657e087ddf933d366a84b3a2bef9d12d6_1280.jpg
admonitory,"{'Adjective': ['serving to warn', 'expressing reproof or reproach especially as a corrective']}",
ado,{'Noun': ['a rapid active commotion']},https://pixabay.com/get/gadfba8d5da6390d30d06550cf627df96cae9635d4c13d670316ec40bfb69d045fe04cd3647f6c8386b8cc9582f6f4a444ea8154549a134bad3168eb5e2a94284_1280.jpg
adorn,"{'Verb': ['make more attractive by adding ornament, colour, etc.', 'be beautiful to look at', 'furnish with power or authority; of kings or emperors']}",https://pixabay.com/get/gef35f03f6af2c53548e328de94004981f60d952abbbe349ae3749f0f7fceee3d965ab76b0534fb25c1184c50da79b9d5d6659c0166278ec1452e9865be3cb190_1280.jpg
adroit,{'Adjective': ['quick or skillful or adept in action or thought']},https://pixabay.com/get/gceaf5b4fc033b7f14b020b99d30f6593236152860c344aefcbbd5ba71a12e75401d44cf0e5711b14bff1c83d570c61087d4119df8489767efb1e626f20b6f77c_1280.jpg
adulteration,"{'Noun': ['being mixed with extraneous material; the product of adulterating', 'the act of adulterating (especially the illicit substitution of one substance for another']}",https://pixabay.com/get/g9c00b62acbf0f65e3c51e222c8ea3f469d43a60d21b35c3ebdcffdbba260093ccf7eeec5500af39e0c3df41326bd6081da24e52a7ee1efc1215b720f34bf0e44_1280.jpg
advent,"{'Noun': ['arrival that has been awaited (especially of something momentous', 'the season including the four Sundays preceding Christmas', '(Christian theology']}",https://pixabay.com/get/g74641f3220808787fc66363e514f22fa94cfc16923220bb9e8ecd6ed443662994e278a3ea5636e44db39f490db55343db491694d07b5baa2205dc9b3f300fc21_1280.jpg
adventitious,{'Adjective': ['associated by chance and not an integral part']},
adversary,{'Noun': ['someone who offers opposition']},
adversity,"{'Noun': ['a state of misfortune or affliction', 'a stroke of ill fortune; a calamitous event']}",https://pixabay.com/get/g139ac680f1c6d314adb08e293635336f426ee9f7277c5e377388e15e472e3db42e004a563b438cc6be6e42a50982f0fce6bb2fa1552bf72a9fc8257409e9850b_1280.jpg
advert,"{'Noun': ['a public promotion of some product or service'], 'Verb': ['give heed (to', 'make a more or less disguised reference to', 'make reference to']}",https://pixabay.com/get/g8d8096492be428e7e41a9087159cb7ad8ac3439d1456d9d0ae27124daa21783b2ce05ed90611046ca4f59c829f9180898b44c108898ee13405eb32cd5ea4cd02_1280.jpg
aeon,"{'Noun': ['(Gnosticism', 'the longest division of geological time', 'an immeasurably long period of time']}",https://pixabay.com/get/ga4a12b9ff600621aab93d2b6c4a2fb0ac8530bfc38ba43cc0aad1a470ccc63307dce5beba07f17335d1d00b64dec15c345812a9364255daf9293535a80821a80_1280.jpg
affable,{'Adjective': ['diffusing warmth and friendliness']},https://pixabay.com/get/g8a54c6ef44fbd6040631dd9278961f8934ff6390df4838e5ec86edf177b8fe57ef4e3fca4c3945ff95e2fcdbd2883e389a066973340b14b1f94b272af85a6a10_1280.jpg
affinity,"{'Noun': ['(immunology', '(anthropology', '(biology', 'a close connection marked by community of interests or similarity in nature or character', 'the force attracting atoms to each other and binding them together in a molecule', 'inherent resemblance between persons or things', 'a natural attraction or feeling of kinship']}",https://pixabay.com/get/g6fbae5bb8160f759326d520d3e4921e6ac4f337f76aff52fd55bcaccb4f0e36e52f046850881cc9389953fafeed709605bbd9a4d77707038c9821fc1a0d61432_1280.jpg
affirm,"{'Verb': ['establish or strengthen as with new evidence or facts', 'to declare or affirm solemnly and formally as true', 'say yes to']}",https://pixabay.com/get/ge3d5095489843588b9e584ccfeea352339525aca5d97cdaa61a2055c4e035b19e047721bb01d5e0b41e360e9ab8dcc30f87c6c14309c2c438136535d14bfb01c_1280.jpg
agape,"{'Noun': ['(Christian theology', 'selfless love of one person for another without sexual implications (especially love that is spiritual in nature', 'a religious meal shared as a sign of love and fellowship'], 'Adjective': ['with the mouth wide open as in wonder or awe']}",https://pixabay.com/get/gdc834e49502cf4ba5c481c576e0c70a610990984986f2e26f6edce418c658f2e3eb98250dbe506092bf8136ec4b20af4c3190d2e186c7ff7527c344ac4137634_1280.jpg
aggravate,"{'Verb': ['make worse', 'exasperate or irritate']}",https://pixabay.com/get/gd0e20e860b37dbf524a7e3f94d8d25599a7821c3c4816d8d0bd6ba36d514732e05369beffcf930b160fd68e9fb66dd4dcc21a2849d5b833d33e46bcbfeb7542c_1280.jpg
agile,"{'Adjective': ['moving quickly and lightly', 'mentally quick']}",https://pixabay.com/get/g1df78d6df4e734e219b784eac0e78bf67fb3b7ea978b8405cc60936df5d8d5e6842cd16d3ab16d82e184810ec16cfaf75a5b6afb830cb0f3ea37c39eb540886a_1280.jpg
agog,"{'Adjective': ['highly excited by eagerness, curiosity, etc.']}",
alacrity,{'Noun': ['liveliness and eagerness']},
alcove,{'Noun': ['a small recess opening off a larger room']},https://pixabay.com/get/gfef82cf4ed1e71ca0b86a5b8d286db6711be73499045b63da699277760b19b6ecd78fc53ed5be4d31ec5e850368864b69d41c0b7e65e9a6ed01ea7731763cb6b_1280.jpg
alienate,"{'Verb': ['arouse hostility or indifference in where there had formerly been love, affection, or friendliness', 'transfer property or ownership', 'make withdrawn or isolated or emotionally dissociated']}",https://pixabay.com/get/g400b062872c9890dfa64195d8a5a46b091edff39628aee8bb958347f6bf0e394d0ebc29e9e9f5f4a00c65e7a8c9d40ec41d591f2dc5ee516a74644caad2ffadd_1280.jpg
aloof,"{'Adjective': ['remote in manner'], 'Adverb': ['in an aloof manner']}",https://pixabay.com/get/ge57d75857f563533a052ca08cff277b06ac9f3e67a29c7026c7bf07b28ca8903d2c31061a2db13f4f600e813be2f39d56ad9cfb81943ec8583ecccbdc1545426_1280.jpg
amalgamate,"{'Verb': ['to bring or combine together or with something else'], 'Adjective': ['joined together into a whole']}",https://pixabay.com/get/g3948cf0e57d6585dd989664b7f93b90eae1c07e7f549a2a388ece328150fc75544979f5b0e0bf613ebb282b982e2a9d6773ee3e1c973df99a2dee1d148076704_1280.jpg
ambient,{'Adjective': ['completely enveloping']},https://pixabay.com/get/g9f39cb0dcd5dde573be2ad68ae04bb9b6d93cfb93f033d589a9fd79d8dee61b794f6eea18826d3396e94c5bb5594f3efcc8a876f7dcdc86bcaf4843091d209f6_1280.jpg
ambiguous,"{'Adjective': ['open to two or more interpretations; or of uncertain nature or significance; or (often', 'or ambiguous', 'having more than one possible meaning', 'having no intrinsic or objective meaning; not organized in conventional patterns']}",https://pixabay.com/get/g20304c20b1a5a95a9687c1ee0670794fe77a438a590693dcce12dc6aab5f31f84647b0fab9eba0cdf2c62eb734437b3a0a0692fb8857c6e45dca8c6903955a86_1280.jpg
amble,"{'Noun': ['a leisurely walk (usually in some public place'], 'Verb': ['walk leisurely']}",https://pixabay.com/get/gaf0063ea66e7e80c15a6a5b526e141eea82674fd1b93eb44b2cd0832e212878a2bae376d31b816147a93ce53940d960eb9a5505691ea31d5bc273d3f523db3b3_1280.jpg
amiable,"{'Adjective': ['disposed to please', 'diffusing warmth and friendliness']}",
amicable,{'Adjective': ['characterized by friendship and good will']},https://pixabay.com/get/g163fdd3fd602f062b2f81a315e448c0686c2d4b2529da49568d677f79f92a04aa27893a19e8b802878309c360a962fe9e6a38c683b823729ec20fce70f849881_1280.jpg
amnesia,{'Noun': ['partial or total loss of memory']},
amorphous,"{'Adjective': ['having no definite form or distinct shape', 'lacking the system or structure characteristic of living bodies', '(of a group of people or an organization', 'unclear because vague or badly organized', 'without real or apparent crystalline form']}",https://pixabay.com/get/g75eeb79f0c7ab661abde6ba19c72fe88bc0334ba62455e4750db5877b739ec5f492962ae9d385b5de2e513c18c1ec14d_1280.jpg
analogy,"{'Noun': ['an inference that if things agree in some respects they probably agree in others', 'drawing a comparison in order to show a similarity in some respect', 'the religious belief that between creature and creator no similarity can be found so great but that the dissimilarity is always greater; any analogy between God and humans will always be inadequate']}",https://pixabay.com/get/g991d8e57f8c8c23cb8f9e36d816111d106dd782d8cc9e487430c6edee8e030c0ed1ab24bf77d8d97450711acb41f061dc492beecc5b3d23a6252129c7491902b_1280.jpg
anarchy,{'Noun': ['a state of lawlessness and disorder (usually resulting from a failure of government']},https://pixabay.com/get/g43ce3b5e1162987ea40ca3abdadaa69fd84c95de3e5b4202de6c606bda49d83347507c296a6eb12587ec6cef1e9ff41c5219516556ae5bfb0a98a9faaba89951_1280.jpg
ancillary,{'Adjective': ['furnishing added support']},
anguish,"{'Noun': ['extreme mental distress', 'extreme distress of body or mind'], 'Verb': ['suffer great pains or distress', 'cause emotional anguish or make miserable']}",https://pixabay.com/get/g4c17fcc0ed6e3145cea2476b32dbb6d03f9ef692e680ebfd12c84d2d654b2b0c5de73e1892ccb52a7df90350a5383a650b16c238c3c69e09be7a176f5fad7485_1280.jpg
animosity,{'Noun': ['a feeling of ill will arousing active hostility']},https://pixabay.com/get/g85cba8003682fd09753e8dec69a2feaf29a8beb1406bb2ad6a3157f291fb689c9bf10f1547a7b552e91225a6a002ad468879bca8fa1d07f472404d48e4cdcb30_1280.jpg
annihilate,{'Verb': ['kill in large numbers']},https://pixabay.com/get/g8d3fc4a730c714e0211f1851c4ecb3bd8925ff54f81ca27d0ccf4079f59d504e6bb56a4b0ce1e9565245aafec1804ccc96a2074b89902a2d449165aabb6a2173_1280.jpg
annuity,{'Noun': ['income from capital investment paid in a series of regular payments']},
annul,"{'Verb': ['declare invalid', 'cancel officially']}",https://pixabay.com/get/gaacd77d868fe1e3080a92d0b6ab8339ea8449fef3868b18f156551ab77a17673791c9c81c18f1b527d7bb26e4593de85cca6f0103622e9d48c752d47137a40a4_1280.jpg
anoint,"{'Verb': ['choose by or as if by divine intervention', 'administer an oil or ointment to; often in a religious ceremony of blessing']}",https://pixabay.com/get/g85fc285d98d257c54e70aa7416e673d860bf4815ac04a50d66264558525d041aef99eba630626f158917c4e20b579cadf2a71a938e82e39b4ac57abd28ddeb06_1280.jpg
anomaly,"{'Noun': ['deviation from the normal or common order or form or rule', 'a person who is unusual', '(astronomy', 'as observed from the sun']}",https://pixabay.com/get/g590fe7f9a0ede790c18c96ea0dab10d52c52c70400eaee49282cac376b47c69f03bb647553bb6ba503fb79f364ddb02278460d89cb786bb308238d18a6b5269d_1280.jpg
anon,"{'Adverb': ['at another time', '(old-fashioned or informal']}",https://pixabay.com/get/g3a843965dd6c807df0ec5a20ae24b769291c384745839b82833a003fad8c8e3ce196c992bb297bf01321dddeb61c237b84db808cb767bf0403b5706cdffc60de_1280.jpg
allegiance,"{'Noun': ['the act of binding yourself (intellectually or emotionally', 'the loyalty that citizens owe to their country (or subjects to their sovereign']}",
alleviate,"{'Verb': ['provide physical relief, as from pain', 'make easier']}",https://pixabay.com/get/gb29f4f9b6b82c698beae0dbb3d8029701c396806b0b8cb6db00193bd614587c5270605f02ad7109a7998947b3753ec54b8a076abe6c12e645ac279dedf123326_1280.jpg
allocate,{'Verb': ['distribute according to a plan or set apart for a special purpose']},
alloy,"{'Noun': ['a mixture containing two or more metallic elements or metallic and nonmetallic elements usually fused together or dissolving into each other when molten', 'the state of impairing the quality or reducing the value of something'], 'Verb': ['lower in value by increasing the base-metal content', 'make an alloy of']}",https://pixabay.com/get/gcd831efd709a54323cef3cd3a3e409d63a181c5af2c674aaed2d5980bc51f29e93c45684db8a3d98dee940cbcf90a7f56f3b5ede698041beab90b42c196ea147_1280.jpg
allure,"{'Noun': ['the power to entice or attract through personal charm'], 'Verb': ['dispose or incline or entice to']}",https://pixabay.com/get/gdf06234bb1893ba214dc461ef6cadb6e60383060a6d7d2171c7a6e0e9c09b4603e6afdabf2d90321869eb55ae5d174edeea02616bd5066a14fb26d6148154bc0_1280.jpg
arcade,"{'Noun': ['a covered passageway with shops and stalls on either side', 'a structure composed of a series of arches supported by columns']}",https://pixabay.com/get/g15b84b8d68c246d3006de94204f056994b600489e412a434f9e685fb31795d2967ad0eee26757543b2b195d64994664e4f9bd2ad5b88f2a2c97356b63b7fa856_1280.jpg
arcane,{'Adjective': ['requiring secret or mysterious knowledge']},
archaic,"{'Adjective': ['so extremely old as seeming to belong to an earlier period', 'little evolved from or characteristic of an earlier ancestral type']}",https://pixabay.com/get/g90bed8ea049e362a35ea6036f8daca298ef07b446aa3518d6ede57b472b57cc1b2c7d9173504b920fc7b0b213aff31894a71fc175ed32f186439bd9354a5ee55_1280.jpg
archives,"{'Noun': ['a depository containing historical records and documents', 'collection of records especially about an institution'], 'Verb': ['put into an archive']}",https://pixabay.com/get/ga87e25561ec3fa6a71874de875ab75c20dfcba0aad2570cc42dc28f09897420312a710748019f9c28ad8a531bafafa4186588a33227c6ca099dbf1bcb80355f8_1280.jpg
arid,"{'Adjective': ['lacking sufficient water or rainfall', 'lacking vitality or spirit; lifeless']}",https://pixabay.com/get/g307b360972e18b3f18282cd8bd6bcd0d2f12165978296c5b89465806419c6970aaab21d98ac1c51b1aa25d61b1c449f8507785606a9375d26bb4a7aaf53f48a5_1280.jpg
allay,"{'Verb': ['lessen the intensity of or calm', 'satisfy (thirst']}",
anon,"{'Adverb': ['at another time', '(old-fashioned or informal']}",
antidote,{'Noun': ['a remedy that stops or controls the effects of a poison']},
apiary,{'Noun': ['a shed containing a number of beehives']},https://pixabay.com/get/g54c80d236774cf4743643d70cb5d49612d8904be8c9b116476423988ca991fe6ad50c4f3af7bfbfb9a71d34e141b20e0e7b7f0a2e79bdccfeb397f0f3cea0adc_1280.jpg
appease,"{'Verb': ['cause to be more favorably inclined; gain the good will of', 'overcome or allay', 'make peace with']}",https://pixabay.com/get/gde211d3070ec762973ac25c55966a2129864c3de70f021dd7a4f6bd8e9f4f37e5d0c1525ece8cc3d22810e364eca7f55764c54915ece01d08831e77722a44b9e_1280.jpg
appraise,"{'Verb': ['evaluate or estimate the nature, quality, ability, extent, or significance of', 'consider in a comprehensive way']}",https://pixabay.com/get/gcb0ba4c9741b586b01e3b1fdc3819471ac9d5c67426a2dcea0950f664e0d1c79555a39d54e71c12535c8bbca636ff859e113b9f212e6bdf0044c3579b87ade45_1280.jpg
apprise,"{'Verb': ['inform (somebody', 'make aware of', 'gain in value', 'increase the value of']}",
badger,"{'Noun': ['a native or resident of Wisconsin', 'sturdy carnivorous burrowing mammal with strong claws; widely distributed in the northern hemisphere'], 'Verb': ['annoy persistently', 'persuade through constant efforts']}",https://pixabay.com/get/g18c623f78a9388ced76c439cdf626fed50d37a36470b916ec22c6543cfeba591e2fb5a80d4a21b3b442adaa5df5b721106d75e4f8c63a2529e1de2ee391cb6d2_1280.jpg
bait,"{'Noun': ['anything that serves as an enticement', 'something used to lure fish or other animals into danger so they can be trapped or killed'], 'Verb': ['harass with persistent criticism or carping', 'lure, entice, or entrap with bait', 'attack with dogs or set dogs upon']}",https://pixabay.com/get/g9fce806adb95630626c9c11ea4c70118907dc58738af14a633ec0000c980a46972f2c4e85ca630192113a7f9b94c0c4f1edcdfdd57ffcc7c5dcc198dabe4b0a7_1280.jpg
baleful,"{'Adjective': ['deadly or sinister', 'threatening or foreshadowing evil or tragic developments']}",https://pixabay.com/get/g0844e40d32c5b86b21b05eecbf349e6f47ff4556604253ec803e33adffd4a78480ab29aad6c2014a6ad69c58f1bb406509dfc9e54dc67eb4d45b576617456e3d_1280.jpg
balk,"{'Noun': ['the area on a billiard table behind the balkline', 'something immaterial that interferes with or delays action or progress', 'one of several parallel sloping beams that support a roof', 'an illegal pitching motion while runners are on base'], 'Verb': ['refuse to comply']}",https://pixabay.com/get/gf6713522b4c165d9f8db50be1576487ea3f18faddc63489cbd9a6565048595e7dedcc17e7e84f5a13595ebbb6af34e2960e19a6fb557f079d60769073f1baa31_1280.jpg
banal,{'Adjective': ['repeated too often; overfamiliar through overuse']},https://pixabay.com/get/gb5c2971f9f2611333211227d2796e32f486075b5d2a9ba23eeba94d8095483b8a68cc5a0042ef89dda62cff61f9fff6161bff0415be7c9d5ad9adac5d7b65ba2_1280.jpg
barbaric,"{'Adjective': ['without civilizing influences', 'unrestrained and crudely rich']}",https://pixabay.com/get/g2dd35f3116b71ceac63b9e98da469c77595705d2a805e8675fa48aedb6c2e629ad04eaba6e2c9b30baded9b54a443ddc7bc033515baebc4441f8d78a3ca6cd47_1280.jpg
arrogance,{'Noun': ['overbearing pride evidenced by a superior manner toward inferiors']},https://pixabay.com/get/g3a45dbc140f808e9cb423b9a3f8d5653f3177d75c7115f1a495c382547680a83f530867d6617fe7eb928f9b4ff13f8c81fe59f468f3333a0d3d628980384f217_1280.jpg
articulate,"{'Verb': ['provide with a joint', 'put into words or an expression', 'speak, pronounce, or utter in a certain way', 'unite by forming a joint or joints', 'express or state clearly'], 'Adjective': ['expressing yourself easily or characterized by clear expressive language', 'consisting of segments held together by joints']}",https://pixabay.com/get/g765c513a4c309128e45b0a9ea48109b4eb7f793a74261df2f67b925cc62f9e705fed541d5c5771f14c68430cbbb7568283d0c61050e8e39d7c2a4cc0e149e20a_1280.jpg
articulate,"{'Verb': ['provide with a joint', 'put into words or an expression', 'speak, pronounce, or utter in a certain way', 'unite by forming a joint or joints', 'express or state clearly'], 'Adjective': ['expressing yourself easily or characterized by clear expressive language', 'consisting of segments held together by joints']}",https://pixabay.com/get/gb4a7c2c4044b1f9629cf1146a2062237d68976544cecc3f7857c2bb430d2402e3e37d32a0870fc37e93e1b8cb18a45fdbeae00c5d6ab0b137f2022e6f89c9f48_1280.jpg
artefact,{'Noun': ['a man-made object taken as a whole']},https://pixabay.com/get/gbdfbdf8146cb834168e42bbd074982d47f4678cf58b0fbb3386f5ebdb62e3002f0a938e794fb90367af14b499e40c5aea38c312522f2052ee2d21f6b093d209e_1280.jpg
ascend,"{'Verb': ['travel up', 'go back in order of genealogical succession', 'become king or queen', 'appear to be moving upward, as by means of tendrils', ""go along towards (a river's"", 'slope upwards', 'come up, of celestial bodies', 'move to a better position in life or to a better job']}",https://pixabay.com/get/g0cb0131803883a7e0d700263763f8c1191dc6dcbaa799215dc91a1e3a0b76053c31cec92c14545e578e5576b4d3f2d11cc330a475541331d646401369aada809_1280.jpg
ascendancy,{'Noun': ['the state that exists when one person or group has power over another']},https://pixabay.com/get/g4658675a9c8bee17160720d91cdda404286d09ecb136aee4e162ee6dbea1518832308214e0f3406f14e3b0765bd569c3d513b76dc09674bd455d1629b1fcb7d9_1280.jpg
ascertain,"{'Verb': ['establish after a calculation, investigation, experiment, survey, or study', 'be careful or certain to do something; make certain of something', 'find out, learn, or determine with certainty, usually by making an inquiry or other effort', 'learn or discover with certainty']}",
ashen,"{'Adjective': ['anemic looking from illness or emotion', 'made of wood of the ash tree']}",https://pixabay.com/get/g9e4d32fb9c62f593d2f3f7ce3b51bbd3dd29a979117fbffa9a5272118a3273fdf95fd72ea1d5281025d89fb7d69c377b90766195106bc7bedf7f36c893fc6e47_1280.jpg
asterisk,"{'Noun': ['a star-shaped character * used in printing'], 'Verb': ['mark with an asterisk']}",https://pixabay.com/get/gd840e900efbd2e49172fd14eab3b2f9437f32e44aabb19c71f132fd08fc3c2772abb2780335f8385c6f0980935d23cd5632ae7e9c657189979cdd045535a8fde_1280.jpg
astringent,"{'Noun': ['a drug that causes contraction of body tissues and canals'], 'Adjective': ['sour or bitter in taste', 'tending to draw together or constrict soft organic tissue']}",
atheism,{'Noun': ['a lack of belief in the existence of God or gods']},
atonement,"{'Noun': ['compensation for a wrong', 'the act of atoning for sin or wrongdoing (especially appeasing a deity']}",https://pixabay.com/get/g8bea37d9fba19460bd63cb819d82c3f9ad319933ff2f64d175dbcfe32e1a315f5729e9b35eaa06c4b8e05b193dd35bb222950d4c4edc7d6cb505eeffd8a89a6d_1280.jpg
attune,{'Verb': ['adjust or accustom to; bring into harmony with']},https://pixabay.com/get/gaffb10cc3be761d563abfac3f1e5c3d50acd7b17f5782777ba76ae96feb2f74a6cc6b3f6b2859fbe07d6c22f41a2e8508e4f03cb88a146eade54fefdfd93a688_1280.jpg
audacious,"{'Adjective': ['invulnerable to fear or intimidation', 'unrestrained by convention or propriety', 'disposed to venture or take risks']}",
august,"{'Noun': ['the month following July and preceding September'], 'Adjective': ['of or befitting a lord', 'profoundly honored']}",https://pixabay.com/get/g4fa5b2f74f85b02a30253a7e96c5059667928a5387746dba29a1eafa855e15c5b3923f30e40f923e0cbd78cf8c7876bc406166cec402e5c2b7429c3b36b7b7e4_1280.jpg
auspicious,{'Adjective': ['auguring favorable circumstances and good luck']},https://pixabay.com/get/g8f6fa8baa09e9a176b4e91eb19e5174d8e86426071a816ea4724650ed47dc00cc2cb198e9ad7c505c7f7fda6db44678619e89ecce1521831e9e8274ce3f50f1c_1280.jpg
austere,"{'Adjective': ['severely simple', 'of a stern or strict bearing or demeanor; forbidding in aspect', 'practicing great self-denial']}",https://pixabay.com/get/g65e209a3ced5ebd0e2085bd0ed4c16a89d52104640dbf97c986af57196c70c33babb3afd0ddbbb93604bef12d75bc0ab94fc493b77c1c76976ce3c43382f0fa2_1280.jpg
auxiliary,"{'Noun': ['someone who acts as assistant'], 'Adjective': ['functioning in a supporting capacity', 'furnishing added support']}",https://pixabay.com/get/gc98916c60f2dd63754eedea429578de58660c2fa0d45444e6043f4af41533a99d20aa4f44758f67265f3c75641786420bb410e723e73f02b1124c2d00253dfd9_1280.jpg
aver,"{'Verb': ['report or maintain', 'to declare or affirm solemnly and formally as true']}",https://pixabay.com/get/g5fd521e138b45ee7c74ea9c1dab2db73c9512df2bfbef0e96c9cbbce653636ff0286e1b2c129ea3dd45bd342c36ed317276c79f0e25762961550f4997608079d_1280.jpg
